No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
341,ラグノオ　いとく能代南店,016-0862,能代市,寿域長根52-3,,0185-54-3939,21.その他,スイーツ,https://www.google.com/maps/search/?api=341&query=能代市寿域長根52-3,,,,
342,ラグノオ　いとく能代ショッピングセンター店,016-0188,能代市,寺向70,,0185-54-6615,21.その他,スイーツ,https://www.google.com/maps/search/?api=342&query=能代市寺向70,,,,
343,ファミリーマート能代大町店,016-0803,能代市,大町7-35,,0185-89-7955,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=343&query=能代市大町7-35,,,,
344,ファミリーマート能代後谷地店,016-0863,能代市,後谷地10-5,,0185-89-1030,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=344&query=能代市後谷地10-5,,,,
345,有限会社成金金物店,018-3152,能代市,二ツ井町字下野家後32-3,,0185-73-3327,21.その他,建築資材・家庭金物,https://www.google.com/maps/search/?api=345&query=能代市二ツ井町字下野家後32-3,,,,
346,森沢石油株式会社　二ツ井SS,018-3145,能代市,二ツ井町海道上中坪25-1,,0185-73-3551,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=346&query=能代市二ツ井町海道上中坪25-1,,,,
347,ケーズデンキ　能代東店,016-0184,能代市,高塙133,,0185-54-7727,21.その他,家電量販店,https://www.google.com/maps/search/?api=347&query=能代市高塙133,,,,
348,牛角　能代店,016-0872,能代市,芝童森7-9,,0185-88-8739,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=348&query=能代市芝童森7-9,,,,
349,能代市観光案内所,016-0831,能代市,元町14-40,,0185-88-8802,3.小売（お土産等）,,https://www.google.com/maps/search/?api=349&query=能代市元町14-40,,,,
350,天洋酒店,016-0803,能代市,大町8-16,,0185-52-3722,3.小売（お土産等）,,https://www.google.com/maps/search/?api=350&query=能代市大町8-16,,,,
351,秋北バス能代バスステーション,016-0804,能代市,万町3-4,,0185-53-3112,6.バス,,https://www.google.com/maps/search/?api=351&query=能代市万町3-4,,,,
352,ファミリーマート能代上町店,016-0817,能代市,上町8-14,,0185-89-7888,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=352&query=能代市上町8-14,,,,
353,NewDays KIOSK 能代,016-0831,能代市,元町14-40,,050-3644-6086,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=353&query=能代市元町14-40,,,,
354,NewDays KIOSK 東能代駅店,016-0121,能代市,鰔淵字下悪戸60,,050-3644-6086,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=354&query=能代市鰔淵字下悪戸60,,,,
355,ファミリーマート　秋田能代南店,016-0872,能代市,字芝童森2-1,,0185-89-8866,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=355&query=能代市字芝童森2-1,,,,
356,ヤマダデンキ テックランド能代店,016-0183,能代市,字中柳2-14,,0185-74-5631,21.その他,家電,https://www.google.com/maps/search/?api=356&query=能代市字中柳2-14,,,,
357,ローソン　能代南バイパス店,016-0871,能代市,字昇平岱42-2,,0185-55-1547,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=357&query=能代市字昇平岱42-2,,,,
358,ローソン　能代大瀬店,016-0181,能代市,字大瀬儘下6-1,,0185-74-6882,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=358&query=能代市字大瀬儘下6-1,,,,
359,ローソン　能代藤山店,016-0856,能代市,字藤山103,,0185-54-8615,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=359&query=能代市字藤山103,,,,
360,（株）サンデー　能代店,016-0188,能代市,字寺向105番,,0185-52-8481,21.その他,ホームセンター,https://www.google.com/maps/search/?api=360&query=能代市字寺向105番,,,,
361,ローソン二ツ井町店,018-3151,能代市,二ツ井町字三千苅85-1,,0185-73-5663,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=361&query=能代市二ツ井町字三千苅85-1,,,,
362,札幌海鮮丸　能代店,016-0854,能代市,字豊祥岱1-7,,0185-55-3876,3.小売（お土産等）,,https://www.google.com/maps/search/?api=362&query=能代市字豊祥岱1-7,,,,
363,ファミリーマート秋田二ツ井店,018-3147,能代市,二ツ井町字小槻ノ木9,,0185-71-1466,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=363&query=能代市二ツ井町字小槻ノ木9,,,,
364,鉄板空間　縁,016-0825,能代市,柳町6-16,,0185-74-5474,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=364&query=能代市柳町6-16,,,,
365,酒食彩宴　粋,016-0822,能代市,東町8-9,,0185-53-5243,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=365&query=能代市東町8-9,,,,
366,いとく能代通町店,016-0845,能代市,通町2-1,,0185-54-5800,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=366&query=能代市通町2-1,,,,
367,いとく二ツ井ショッピングセンター,018-3144,能代市,二ツ井町字中坪18-1,,0185-73-3113,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=367&query=能代市二ツ井町字中坪18-1,,,,
368,いとく能代ショッピングセンター,016-0188,能代市,字寺向70,,0185-89-2480,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=368&query=能代市字寺向70,,,,
369,いとく能代南店,016-0862,能代市,字寿域長根52-3,,0185-54-7611,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=369&query=能代市字寿域長根52-3,,,,
370,いとく能代北店,016-0014,能代市,落合字上前田171,,0185-74-6565,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=370&query=能代市落合字上前田171,,,,
371,いとく能代ショッピングセンター　たんぽぽ,016-0188,能代市,字寺向70,,0185-89-2480,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=371&query=能代市字寺向70,,,,
372,吾作ラーメン　東能代店,016-0122,能代市,扇田山下100-3,,0185-58-5391,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=372&query=能代市扇田山下100-3,,,,
373,吾作ラーメン　能代店,016-0014,能代市,落合上前田176,,0185-54-5391,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=373&query=能代市落合上前田176,,,,
374,ローソン　能代西赤沼店,016-0837,能代市,西赤沼12-21,,0185-52-5215,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=374&query=能代市西赤沼12-21,,,,
375,秋北タクシー(株)能代営業所,016-0801,能代市,浜通町3-10,,0185-52-1111,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=375&query=能代市浜通町3-10,,,,
376,イオン能代店,016-0825,能代市,柳町11-1,,0185-55-2355,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=376&query=能代市柳町11-1,,,,
377,ベル二ツ井店,018-3117,能代市,二ツ井町字塚台34,,0185-73-5060,21.その他,ホームセンター,https://www.google.com/maps/search/?api=377&query=能代市二ツ井町字塚台34,,,,
378,桔梗屋,016-0821,能代市,畠町6-8,,0185-52-5853,3.小売（お土産等）,,https://www.google.com/maps/search/?api=378&query=能代市畠町6-8,,,,
379,イオン能代店（食品フロア）,016-0825,能代市,柳町11-1,,0185-55-2355,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=379&query=能代市柳町11-1,,,,
380,ザ・ビッグ能代長崎店,016-0873,能代市,字長崎41-1,,0185-89-2515,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=380&query=能代市字長崎41-1,,,,
381,ザ・ビッグ能代高塙店,016-0184,能代市,字高塙140-1,,0185-86-5200,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=381&query=能代市字高塙140-1,,,,
382,第一タクシー,016-0804,能代市,万町6-32,,0185-53-5389,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=382&query=能代市万町6-32,,,,
383,マックスバリュ能代北店,016-0014,能代市,落合字砂田71-1,,0185-89-4115,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=383&query=能代市落合字砂田71-1,,,,
384,ツルハドラッグ　能代北店,016-0014,能代市,落合字上前田１６１番地,,0185-89-8268,21.その他,薬局,https://www.google.com/maps/search/?api=384&query=能代市落合字上前田１６１番地,,,,
385,ローソン能代河戸川南後田店,016-0171,能代市,河戸川字南後田92-1,,0185-89-6410,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=385&query=能代市河戸川字南後田92-1,,,,
386,お食事処　さくら亭,016-0179,能代市,浅内字鵜川堺5,,0185-53-3933,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=386&query=能代市浅内字鵜川堺5,,,,
387,ローソン能代扇田店,016-0122,能代市,扇田字道地141-1,,0185-70-1112,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=387&query=能代市扇田字道地141-1,,,,
388,ローソン能代落合店,016-0014,能代市,落合字上悪土166,,0185-89-1563,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=388&query=能代市落合字上悪土166,,,,
389,ローソン能代鰄渕店,016-0121,能代市,鰄渕字家の下96-1,,0185-58-5515,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=389&query=能代市鰄渕字家の下96-1,,,,
390,ローソン向能代店,016-0013,能代市,向能代字上野越110-1,,0185-52-8369,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=390&query=能代市向能代字上野越110-1,,,,
391,ローソン能代昭南町店,016-0897,能代市,昭南町1-17,,0185-52-5243,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=391&query=能代市昭南町1-17,,,,
392,メガ能代中央店,016-0862,能代市,寿域長根39-8,,0185-89-1660,21.その他,ドラッグストア,https://www.google.com/maps/search/?api=392&query=能代市寿域長根39-8,,,,
393,あきた白神温泉ホテル,018-2676,山本郡八峰町,八森磯村100,,0185-77-2233,21.その他,宿泊施設,https://www.google.com/maps/search/?api=393&query=山本郡八峰町八森磯村100,,,,
394,おらほの館,018-2509,山本郡八峰町,峰浜沼田字ホンコ谷地147-6,,0185-76-4649,3.小売（お土産等）,,https://www.google.com/maps/search/?api=394&query=山本郡八峰町峰浜沼田字ホンコ谷地147-6,,,,
395,八森いさりび温泉ハタハタ館,018-2617,山本郡八峰町,八森御所の台51,,0185-77-2770,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=395&query=山本郡八峰町八森御所の台51,,,,
396,八峰町産直施設　ぶりこ,018-2617,山本郡八峰町,八森字御所の台51,,0185-70-4020,3.小売（お土産等）,,https://www.google.com/maps/search/?api=396&query=山本郡八峰町八森字御所の台51,,,,
397,ローソン峰浜沼田店,018-2509,山本郡八峰町,峰浜沼田字砂坂5-1,,0185-70-3636,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=397&query=山本郡八峰町峰浜沼田字砂坂5-1,,,,
398,ローソン能代八峰町八森店,018-2662,山本郡八峰町,八森字新浜田183-1,,0185-77-4100,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=398&query=山本郡八峰町八森字新浜田183-1,,,,
399,ホテルゆとりあ藤里,018-3201,山本郡藤里町,藤琴字上湯ノ沢1-2,,0185-79-1070,21.その他,宿泊施設,https://www.google.com/maps/search/?api=399&query=山本郡藤里町藤琴字上湯ノ沢1-2,,,,
400,白神山地　森のえき,018-3201,山本郡藤里町,藤琴字里栗38-2,,0185-79-2518,3.小売（お土産等）,,https://www.google.com/maps/search/?api=400&query=山本郡藤里町藤琴字里栗38-2,,,,
401,いとく藤琴店,018-3201,山本郡藤里町,藤琴字家の後84,,0185-79-2255,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=401&query=山本郡藤里町藤琴字家の後84,,,,
402,たかいし野,018-2104,山本郡三種町,鹿渡字高石野126-1,,0185-87-4311,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=402&query=山本郡三種町鹿渡字高石野126-1,,,,
403,直売施設グリーンぴあ,018-2104,山本郡三種町,鹿渡字高石野123-2,,0185-72-2299,3.小売（お土産等）,,https://www.google.com/maps/search/?api=403&query=山本郡三種町鹿渡字高石野123-2,,,,
404,児玉商会駅前SS,018-2303,山本郡三種町,森岳字町尻50-5,,0185-83-2201,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=404&query=山本郡三種町森岳字町尻50-5,,,,
405,薬王堂　三種森岳店,018-2303,山本郡三種町,森岳字岩瀬220番地1,,0185-88-8351,21.その他,薬局,https://www.google.com/maps/search/?api=405&query=山本郡三種町森岳字岩瀬220番地1,,,,
406,森岳温泉ホテル,018-2303,山本郡三種町,森岳字木戸沢115-27,,0185-83-5522,21.その他,宿泊施設,https://www.google.com/maps/search/?api=406&query=山本郡三種町森岳字木戸沢115-27,,,,
407,ツルハドラッグ　八竜店,018-2407,山本郡三種町,浜田字東浜田334,,0185-72-1268,21.その他,薬局,https://www.google.com/maps/search/?api=407&query=山本郡三種町浜田字東浜田334,,,,
408,ツルハドラッグ　琴丘店,018-2104,山本郡三種町,鹿渡字西小瀬川147,,0185-72-2268,21.その他,薬局,https://www.google.com/maps/search/?api=408&query=山本郡三種町鹿渡字西小瀬川147,,,,
409,森岳観光タクシー駅前営業所,018-2303,山本郡三種町,森岳字町尻50-5,,0185-83-2201,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=409&query=山本郡三種町森岳字町尻50-5,,,,
410,ローソン　山本森岳店,018-2303,山本郡三種町,森岳字長田42-3,,0185-83-5016,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=410&query=山本郡三種町森岳字長田42-3,,,,
411,ローソン　琴丘インター店,018-2104,山本郡三種町,鹿渡字西小瀬川161-1,,0185-87-2468,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=411&query=山本郡三種町鹿渡字西小瀬川161-1,,,,
412,江戸前　南秋屋,018-2303,山本郡三種町,森岳字木戸沢235-14,,0185-83-2356,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=412&query=山本郡三種町森岳字木戸沢235-14,,,,
413,ファミリーマート三種八竜店,018-2401,山本郡三種町,鵜川字帆出３２－２,,0185-72-1322,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=413&query=山本郡三種町鵜川字帆出３２－２,,,,
414,マックスバリュ琴丘店,018-2104,山本郡三種町,鹿渡字浜村下131,,0185-72-2121,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=414&query=山本郡三種町鹿渡字浜村下131,,,,
415,ローソン　三種鵜川店,018-2401,山本郡三種町,鵜川字東本田31-1,,0185-85-2521,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=415&query=山本郡三種町鵜川字東本田31-1,,,,
416,ローソン三種町鹿渡店,018-2104,山本郡三種町,鹿渡字昼寝道下129-9,,0185-72-2221,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=416&query=山本郡三種町鹿渡字昼寝道下129-9,,,,
417,炭火でいろいろ焼いてくれや,010-0803,秋田市,外旭川八柳３－１１－５,,018-868-4129,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=417&query=秋田市外旭川八柳３－１１－５,,,,
418,ホームセンターハッピー外旭川店,010-0802,秋田市,外旭川字三後田８２,,018-868-0780,21.その他,ホームセンター,https://www.google.com/maps/search/?api=418&query=秋田市外旭川字三後田８２,,,,
419,マックハウスＳＳＦ広面店,010-0041,秋田市,広面字宮田27-1,,018-836-4668,21.その他,衣料品小売業,https://www.google.com/maps/search/?api=419&query=秋田市広面字宮田27-1,,,,
420,マックハウス秋田飯島店,011-0917,秋田市,飯島道東1-1-7,,018-845-4905,21.その他,衣料品小売業,https://www.google.com/maps/search/?api=420&query=秋田市飯島道東1-1-7,,,,
421,秋田比内地鶏や,010-0001,秋田市,中通7-1-2,,018-874-7282,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=421&query=秋田市中通7-1-2,,,,
422,あきた茶房,010-1211,秋田市,雄和椿川字山籠49,,018-886-3771,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=422&query=秋田市雄和椿川字山籠49,,,,
423,唐橋茶屋,010-0001,秋田市,中通４丁目16-2,,018-834-8841,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=423&query=秋田市中通４丁目16-2,,,,
424,日本一秋田トピコ店,010-0001,秋田市,中通7-1-2,,018-884-0021,3.小売（お土産等）,,https://www.google.com/maps/search/?api=424&query=秋田市中通7-1-2,,,,
425,石川酒店JR秋田駅ビルトピコ店,010-0001,秋田市,中通七丁目1番2号,,018-833-9920,3.小売（お土産等）,,https://www.google.com/maps/search/?api=425&query=秋田市中通七丁目1番2号,,,,
426,大漁丸竿燈大通り店,010-0921,秋田市,大町2-2-41,,018-896-5554,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=426&query=秋田市大町2-2-41,,,,
427,御廚光琳,010-0001,秋田市,中通1-4-3,,018-832-2002,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=427&query=秋田市中通1-4-3,,,,
428,パティスリーストーブ,010-0041,秋田市,広面字近藤堰越21-2,,018-887-5656,21.その他,ケーキ,https://www.google.com/maps/search/?api=428&query=秋田市広面字近藤堰越21-2,,,,
429,タケダスポーツ秋田店,011-0904,秋田市,寺内蛭根１丁目１６番１号,,018-862-6600,21.その他,スポーツ用品,https://www.google.com/maps/search/?api=429&query=秋田市寺内蛭根１丁目１６番１号,,,,
430,そば処　田丸屋,011-0946,秋田市,土崎港中央3-11-3,,018-845-7884,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=430&query=秋田市土崎港中央3-11-3,,,,
431,アクセサリーズキャロル　秋田駅前店,010-0001,秋田市,中通２丁目８－１,,018-874-7768,3.小売（お土産等）,,https://www.google.com/maps/search/?api=431&query=秋田市中通２丁目８－１,,,,
432,近畿日本ツーリスト東北　秋田支店,010-0951,秋田市,山王3-1-7,東カンビル2F,018-896-4890,21.その他,旅行代理店,https://www.google.com/maps/search/?api=432&query=秋田市山王3-1-7,,,,
433,ダイユーエイト　秋田寺内店,011-0904,秋田市,寺内蛭根一丁目16-10,,018-874-9069,21.その他,ホームセンター,https://www.google.com/maps/search/?api=433&query=秋田市寺内蛭根一丁目16-10,,,,
434,Branzi-no　Akita,010-0001,秋田市,中通2-2-7,トラストワンビル21　B1,018-838-5922,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=434&query=秋田市中通2-2-7,,,,
435,伝承の味処　無限堂　卸町店,010-0061,秋田市,卸町2-2-7,（株）秋田まるごと市場内,018-862-2133,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=435&query=秋田市卸町2-2-7,,,,
436,伝承の味処　無限堂　秋田駅前店,010-0001,秋田市,中通2-4-12,,018-825-0800,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=436&query=秋田市中通2-4-12,,,,
437,伝承の味処　無限堂　大町本店,010-0921,秋田市,大町1-3-2,,018-863-0008,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=437&query=秋田市大町1-3-2,,,,
438,秋田県産品プラザ,010-0001,秋田市,中通2-3-8,アトリオンB1F,018-836-7830,3.小売（お土産等）,,https://www.google.com/maps/search/?api=438&query=秋田市中通2-3-8,,,,
439,お食事処　河辺ドライブイン,019-2601,秋田市,河辺和田字坂本南262,,018-882-2361,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=439&query=秋田市河辺和田字坂本南262,,,,
440,花の鈴屋,010-0947,秋田市,川尻上野町1-74,,018-863-1319,21.その他,生花店,https://www.google.com/maps/search/?api=440&query=秋田市川尻上野町1-74,,,,
441,ホテル秋田御所野,010-1419,秋田市,御所野堤台1-3-1,,018-853-8660,21.その他,宿泊施設,https://www.google.com/maps/search/?api=441&query=秋田市御所野堤台1-3-1,,,,
442,お菓子のくらた　泉グランマート店,010-0817,秋田市,泉菅野2-1-1,グランマート泉店内,018-838-5066,3.小売（お土産等）,,https://www.google.com/maps/search/?api=442&query=秋田市泉菅野2-1-1,,,,
443,お菓子のくらた　トピコ店,010-0001,秋田市,秋田市中通7-2-1,秋田ステーションビル　トピコ2階,018-834-7341,3.小売（お土産等）,,https://www.google.com/maps/search/?api=443&query=秋田市秋田市中通7-2-1,,,,
444,お菓子のくらた　外旭川店,010-0802,秋田市,外旭川字待合10-1,,018-869-7227,3.小売（お土産等）,,https://www.google.com/maps/search/?api=444&query=秋田市外旭川字待合10-1,,,,
445,お菓子のくらた　東店,010-0041,秋田市,広面屋敷田309,,018-889-3615,3.小売（お土産等）,,https://www.google.com/maps/search/?api=445&query=秋田市広面屋敷田309,,,,
446,お菓子のくらた　山王店,010-0951,秋田市,山王1-5-2,,018-863-3682,3.小売（お土産等）,,https://www.google.com/maps/search/?api=446&query=秋田市山王1-5-2,,,,
447,なるみ酒店　大町店,010-0921,秋田市,大町5-3-39,,018-862-2843,3.小売（お土産等）,,https://www.google.com/maps/search/?api=447&query=秋田市大町5-3-39,,,,
448,なるみ酒店　本店,010-0914,秋田市,保戸野千代田町16-6,,018-823-0315,3.小売（お土産等）,,https://www.google.com/maps/search/?api=448&query=秋田市保戸野千代田町16-6,,,,
449,お肉とワイン　コジコジ秋田駅前店,010-0001,秋田市,中通2-6-2,,018-874-7979,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=449&query=秋田市中通2-6-2,,,,
450,アルバートホテル秋田　日本料理レストランはなぎく,010-0921,秋田市,大町4-3-22,,018-888-3333,21.その他,宿泊施設,https://www.google.com/maps/search/?api=450&query=秋田市大町4-3-22,,,,
451,ティールーム陶,010-0001,秋田市,中通2-1-21,,018-833-2843,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=451&query=秋田市中通2-1-21,,,,
452,食器のさかいだ,010-0001,秋田市,中通2-1-21,,018-833-2843,3.小売（お土産等）,,https://www.google.com/maps/search/?api=452&query=秋田市中通2-1-21,,,,
453,秋田乃瀧,010-0921,秋田市,大町3-1-15,,018-824-1010,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=453&query=秋田市大町3-1-15,,,,
454,ひらのや書店,010-0921,秋田市,大町1-5-19,,018-862-4488,21.その他,書店,https://www.google.com/maps/search/?api=454&query=秋田市大町1-5-19,,,,
455,秋田牛玄亭,010-0001,秋田市,中通2-6-44,2F,018-893-3929,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=455&query=秋田市中通2-6-44,,,,
456,レストランおいしんぼ,010-0973,秋田市,八橋本町1-1-48,,018-864-1072,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=456&query=秋田市八橋本町1-1-48,,,,
457,札幌海鮮丸　仁井田店,010-1434,秋田市,仁井田蕗見町10-15,,0570-091-440,3.小売（お土産等）,,https://www.google.com/maps/search/?api=457&query=秋田市仁井田蕗見町10-15,,,,
458,カクテル＆ウイスキー　レディ,010-0921,秋田市,大町3-1-11,,018-863-6855,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=458&query=秋田市大町3-1-11,,,,
459,JA秋田なまはげ直売所　あぐりんなかいち,010-0001,秋田市,中通1-4-3,,018-884-0831,3.小売（お土産等）,,https://www.google.com/maps/search/?api=459&query=秋田市中通1-4-3,,,,
460,BCカトレア,010-0001,秋田市,中通2-6-1,,018-833-2191,21.その他,衣服店,https://www.google.com/maps/search/?api=460&query=秋田市中通2-6-1,,,,
461,オアシス,010-0001,秋田市,中通2-8-1,,018-834-8258,21.その他,衣服店,https://www.google.com/maps/search/?api=461&query=秋田市中通2-8-1,,,,
462,レモンの部屋,010-0001,秋田市,中通2-2-1,,018-834-7614,21.その他,衣服店,https://www.google.com/maps/search/?api=462&query=秋田市中通2-2-1,,,,
463,カトレア本店,010-0001,秋田市,中通2-1-22,,018-832-7066,21.その他,衣服店,https://www.google.com/maps/search/?api=463&query=秋田市中通2-1-22,,,,
464,リーフ,010-0001,秋田市,中通2-8-1,フォンテ秋田1F,018-893-5652,21.その他,衣服店,https://www.google.com/maps/search/?api=464&query=秋田市中通2-8-1,,,,
465,ツーフェイス秋田店,010-0001,秋田市,中通2-8-1,フォンテ秋田3F,018-884-0232,21.その他,衣服店,https://www.google.com/maps/search/?api=465&query=秋田市中通2-8-1,,,,
466,カトレア　土崎店,011-0943,秋田市,土崎港南2-3-41,イオン土崎南店2F,018-845-5096,21.その他,衣服店,https://www.google.com/maps/search/?api=466&query=秋田市土崎港南2-3-41,,,,
467,カトレア　秋田店,010-0001,秋田市,中通2-8-1,フォンテ秋田3F,018-835-5236,21.その他,衣服店,https://www.google.com/maps/search/?api=467&query=秋田市中通2-8-1,,,,
468,レイルズ,010-0001,秋田市,中通7-1-2,トピコ1F,018-853-8688,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=468&query=秋田市中通7-1-2,,,,
469,あきた鮨,010-0001,秋田市,中通7-1-2,トピコ2F,018-827-6886,3.小売（お土産等）,,https://www.google.com/maps/search/?api=469&query=秋田市中通7-1-2,,,,
470,秋田港,010-0001,秋田市,中通7-1-2,トピコ3F,018-853-5688,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=470&query=秋田市中通7-1-2,,,,
471,かまくらの郷,010-0001,秋田市,中通4-13-1,,018-874-8313,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=471&query=秋田市中通4-13-1,,,,
472,いさばや,010-0001,秋田市,中通7-1-2,トピコ1F,018-838-6020,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=472&query=秋田市中通7-1-2,,,,
473,グランマート手形店,010-0863,秋田市,手形休下町2-1,,018-825-1021,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=473&query=秋田市手形休下町2-1,,,,
474,グランマート外旭川店,010-0802,秋田市,外旭川字小谷地25,,018-868-2323,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=474&query=秋田市外旭川字小谷地25,,,,
475,グランマート泉店,010-0817,秋田市,泉菅野2-1-1,,018-866-8811,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=475&query=秋田市泉菅野2-1-1,,,,
476,秋田市雄和観光交流館Villaフローラ,010-1223,秋田市,雄和妙法字糠塚1-1,,018-881-3011,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=476&query=秋田市雄和妙法字糠塚1-1,,,,
477,横田屋,010-0921,秋田市,大町3-1-17,,018-823-8221,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=477&query=秋田市大町3-1-17,,,,
478,仲小路コーヒー＆ワイン,010-0001,秋田市,中通2-1-48,,018-853-0730,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=478&query=秋田市中通2-1-48,,,,
479,ホテルパールシティ　秋田竿燈大通り,010-0921,秋田市,大町2-2-3,,018-862-0501,21.その他,宿泊施設,https://www.google.com/maps/search/?api=479&query=秋田市大町2-2-3,,,,
480,パティズ秋田店,010-0029,秋田市,楢山川口境5-11,イオン秋田中央店内3F,018-825-5577,21.その他,雑貨店,https://www.google.com/maps/search/?api=480&query=秋田市楢山川口境5-11,,,,
481,アクトワン,010-0012,秋田市,南通みその町1-14,,018-884-1919,21.その他,ブランド品,https://www.google.com/maps/search/?api=481&query=秋田市南通みその町1-14,,,,
482,郷土料理　芝良久,010-0951,秋田市,山王1-2-17,,018-865-4809,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=482&query=秋田市山王1-2-17,,,,
483,火乃座,010-0921,秋田市,大町5-3-2,,018-862-4545,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=483&query=秋田市大町5-3-2,,,,
484,紅がら屋,010-0921,秋田市,大町4-2-34,,018-867-0399,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=484&query=秋田市大町4-2-34,,,,
485,BAIRO　CAFE,010-0921,秋田市,大町5-2-33,,018-824-2200,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=485&query=秋田市大町5-2-33,,,,
